timestamp,product_name,ocr_text,sugar_g,status,yolo_confidence,match_score,match_type,screenshot_path
2026-07-17T14:27:00,NU MILK TEA,NII TEA,15.0,Batas Wajar,0.8366,0.7778,fuzzy:NII MILKTEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_142700_150834_NU_MILK_TEA.jpg
2026-07-17T14:27:08,NU GREEN TEA,NTI JREEN TEA,15.0,Batas Wajar,0.8048,0.8,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_142708_583846_NU_GREEN_TEA.jpg
2026-07-17T17:47:49,NESTLE PURE LIFE,NESTLE PURE LIFE,0.0,Aman,0.8224,1.0,exact,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174749_586301_NESTLE_PURE_LIFE.jpg
2026-07-17T17:47:56,NESTLE PURE LIFE,NESTE PURELIFE,0.0,Aman,0.6039,1.0,exact:PURE LIFE,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174756_611055_NESTLE_PURE_LIFE.jpg
2026-07-17T17:48:10,NU GREEN TEA,NI GREEM TEA,15.0,Batas Wajar,0.8206,0.8333,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174810_074336_NU_GREEN_TEA.jpg
2026-07-17T17:48:34,NU GREEN TEA,NIL GREEN TEA,15.0,Batas Wajar,0.7748,0.88,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174834_274077_NU_GREEN_TEA.jpg
2026-07-17T17:48:52,NU GREEN TEA,NII GREEN TEA,15.0,Batas Wajar,0.8359,0.88,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174852_222997_NU_GREEN_TEA.jpg
2026-07-17T17:49:10,NU MILK TEA,NII TEA,15.0,Batas Wajar,0.7286,0.7778,fuzzy:NII MILKTEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_174910_959703_NU_MILK_TEA.jpg
2026-07-17T17:50:41,NU GREEN TEA,NII REEN TEA,15.0,Batas Wajar,0.7771,0.8333,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_175041_365879_NU_GREEN_TEA.jpg
2026-07-17T17:50:49,NU GREEN TEA,NII GREEN TEA,15.0,Batas Wajar,0.7749,0.88,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_175049_920726_NU_GREEN_TEA.jpg
2026-07-17T17:50:58,NU GREEN TEA,NI GREEN TEA,15.0,Batas Wajar,0.7686,0.9167,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_175058_618885_NU_GREEN_TEA.jpg
2026-07-17T17:52:01,NU GREEN TEA,NII GREEN TEA,21.0,Tidak Disarankan,0.8496,0.88,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_175201_969314_NU_GREEN_TEA.jpg
2026-07-17T17:52:08,NU MILK TEA,NII TEA,21.0,Tidak Disarankan,0.6091,0.7778,fuzzy:NII MILKTEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_175208_836687_NU_MILK_TEA.jpg
2026-07-17T18:20:45,NU GREEN TEA,GREEN,21.0,Tidak Disarankan,0.7762,0.8333,fuzzy:NU GREEN,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_182045_380816_NU_GREEN_TEA.jpg
2026-07-17T18:20:56,NU GREEN TEA,NII GREEN TEA,21.0,Tidak Disarankan,0.8591,0.88,fuzzy:NU GREEN TEA,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_182056_990860_NU_GREEN_TEA.jpg
2026-07-17T18:22:15,NESTLE PURE LIFE,PURE LIFE NESTLE,0.0,Aman,0.7545,1.0,exact:PURE LIFE,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_182215_499136_NESTLE_PURE_LIFE.jpg
2026-07-17T18:22:30,NESTLE PURE LIFE,NESTE PURE LIFE,0.0,Aman,0.6847,1.0,exact:PURE LIFE,C:\Users\nenyu\Downloads\Yolo11-OCR_\screenshot\20260717_182230_666457_NESTLE_PURE_LIFE.jpg
